ref,value,footprint,digikey,Field2,Field3,Field4,Field5,Field6,Field7,Field8
AD1,AD5933,ssop-16,AD5934YRSZ-ND,,,,,,,
AD2,AD8605,SOT23-5,AD8605ARTZREEL7CT-ND,,,,,,,
BU0,BU4053BC,ssop-16,BU4053BCFV-E2CT-ND,,,,,,,
BU1,BU4051BC,ssop-16,BU4051BCFV-E2CT-ND,,,,,,,
BU2,BU4052BC,ssop-16,BU4052BCFV-E2CT-ND,,,,,,,
C1,1uF,0402,445-4978-1-ND,,,,,,,
C2,1uF,0402,445-4978-1-ND,,,,,,,
C3,1uF,0402,445-4978-1-ND,,,,,,,
C4,1uF,0402,445-4978-1-ND,,,,,,,
C5,1uF,0402,445-4978-1-ND,,,,,,,
C6,1uF,0402,445-4978-1-ND,,,,,,,
C7,1uF,0402,445-4978-1-ND,,,,,,,
C8,0.05uF,0402,490-5413-1-ND,,,,,,,
C9,47nF,0805,399-8092-1-ND,,,,,,,
C10,1uF,0402,445-4978-1-ND,,,,,,,
EIB1,OMNETICS_EIB36,OMNETICS_A79025,A79025,,,,,,,
EXT1,CONN_1,,,,,,,,,
EXTGND1,CONN_1,,,,,,,,,
J1,RJ45,RJ45_8,609-1046-ND,,,,,,,
J2,RJ45,RJ45_8,609-1046-ND,,,,,,,
OSC1,ECS3961/3,ECS3963/1,XC1894CT-ND,,,,,,,
R1,1.3K,0402,311-1.27KLRCT-ND,,,,,,,
R2,130K,0402,311-127KLRCT-ND,,,,,,,
R3,1.3M,0402,541-1.30MLCT-ND,,,,,,,
R4,13K,0402,P12.7KLCT-ND,,,,,,,
R5,3.6K,0402,P3.65KLCT-ND,,,,,,,
R6,365K,0402,541-365KLCT-ND,,,,,,,
R7,1.5M,0402,541-1.50MLCT-ND,,,,,,,
R8,36K,0402,P36.5KLCT-ND,,,,,,,
R9,50K,0402,P49.9KLCT-ND,,,,,,,
R10,50K,0402,P49.9KLCT-ND,,,,,,,
U1,CD4067,SSOP24,296-32905-5-ND,,,,,,,
U2,CD4067,SSOP24,296-32905-5-ND,,,,,,,
U3,AD5280,SSOP14,AD5280BRUZ200-ND,,,,,,,
U4,LM234,TO92,LM234Z-6/NOPB-ND,,,,,,,
