ref,value,footprint,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
C1,4.7uF,SM0603,587-2786-1-ND,,,,,,,
C2,4.7uF,SM0603,587-2786-1-ND,,,,,,,
C3,10uF,SM0603,587-3238-1-ND,,,,,,,
C4,4.7uF,SM0603,587-2786-1-ND,,,,,,,
C5,4.7uF,SM0603,587-2786-1-ND,,,,,,,
C6,100uF,SM1210,587-3152-1-ND,,,,,,,
C7,300pF,SM0603,1276-2261-1-ND,,,,,,,
C8,100uF,SM1210,587-3152-1-ND,,,,,,,
C9,100uF,SM1210,587-3152-1-ND,,,,,,,
C10,4.7uF,SM0603,587-2786-1-ND,,,,,,,
C11,10uF,SM0603,587-3238-1-ND,,,,,,,
C13,4.7uF,SM0603,587-2786-1-ND,,,,,,,
D1,LED,0603,160-1447-1-ND,,,,,,,
D3,B220A,SMA,B220A-FDICT-ND,,,,,,,
FI1,ELK-E333FA,~,P13159CT-ND,,,,,,,
J1,RJ45,RJ45-8,609-1046-ND,,,,,,,
J2,RJ45,RJ45-8,609-1046-ND,,,,,,,
J3,USB,,670-1190-1-ND,,,,,,,
L1,4.7uH,~,308-2050-1-ND,,,,,,,
L3,33uH,~,445-1983-1-ND,,,,,,,
L4,33uH,~,445-1983-1-ND,,,,,,,
MCP1,MCP73831,SOT23-5,MCP73831T-2ATI/OTCT-ND,,,,,,,
P1,JST-PH2,jst-ph-JST-PH2,455-1719-ND,,,,,,,
P2,CONN_24X2,,,,,,,,,
P3,CONN_24X2,,,,,,,,,
Q1,DMG2307L-7,SOT-23,DMG2307L-7DICT-ND,,,,,,,
Q2,DMG2307L-7,SOT-23,DMG2307L-7DICT-ND,,,,,,,
R1,300,SM0603,1276-4599-1-ND,,,,,,,
R2,2K,SM0603,311-2.00KHRCT-ND,,,,,,,
R3,100K,SM0603,311-100KHRCT-ND,,,,,,,
R4,47K,SM0603,311-47.0KHRCT-ND,,,,,,,
R5,47K,SM0603,311-47.0KHRCT-ND,,,,,,,
R6,0.42,SM0805,P.43BHCT-ND,,,,,,,
R7,180,SM0805,P180ADCT-ND,,,,,,,
R8,10K,SM0603,311-10.0KHRCT-ND,,,,,,,
R9,71.5K,SM0603,311-71.5KHRCT-ND,,,,,,,
R10,47K,SM0603,311-47.0KHRCT-ND,,,,,,,
R11,47K,SM0603,311-47.0KHRCT-ND,,,,,,,
R12,95.3K,SM0603,P95.3KHCT-ND,,,,,,,
R13,95.3K,SM0603,P95.3KHCT-ND,,,,,,,
R14,95.3K,SM0603,P95.3KHCT-ND,,,,,,,
R15,95.3K,SM0603,P95.3KHCT-ND,,,,,,,
R16,95.3K,SM0603,P95.3KHCT-ND,,,,,,,
R17,95.3K,SM0603,P95.3KHCT-ND,,,,,,,
R18,95.3K,SM0603,P95.3KHCT-ND,,,,,,,
R19,95.3K,SM0603,P95.3KHCT-ND,,,,,,,
R20,47K,SM0603,311-47.0KHRCT-ND,,,,,,,
R21,47K,SM0603,311-47.0KHRCT-ND,,,,,,,
R22,47K,SM0603,311-47.0KHRCT-ND,,,,,,,
R23,47K,SM0603,311-47.0KHRCT-ND,,,,,,,
R24,47K,SM0603,311-47.0KHRCT-ND,,,,,,,
R25,47K,SM0603,311-47.0KHRCT-ND,,,,,,,
R26,95.3K,SM0603,P95.3KHCT-ND,,,,,,,
R27,95.3K,SM0603,P95.3KHCT-ND,,,,,,,
R28,4.7K,SM0603,311-4.70KHRCT-ND,,,,,,,
R29,4.7K,SM0603,311-4.70KHRCT-ND,,,,,,,
R30,95.3K,SM0603,P95.3KHCT-ND,,,,,,,
R31,200K,SM0603,311-200KHRCT-ND,,,,,,,
R32,4.7K,SM0603,311-4.70KHRCT-ND,,,,,,,
R33,4.7K,SM0603,311-4.70KHRCT-ND,,,,,,,
R34,47K,SM0603,311-47.0KHRCT-ND,,,,,,,
R35,100K,SM0603,311-100KHRCT-ND,,,,,,,
SW1,SWITCH_INV,~,EG2585-ND,,,,,,,
U1,MC34063,SOIC8,296-17765-1-ND,,,,,,,
U2,ISL9111,SOT23_6,296-17765-1-ND,,,,,,,
U3,LM324QUAD,TSSOP14,296-9544-1-ND,,,,,,,
U4,LM324QUAD,TSSOP14,296-9544-1-ND,,,,,,,
U5,LM324QUAD,TSSOP14,296-9544-1-ND,,,,,,,
U6,PCA9306,SM8,296-18509-1-ND,,,,,,,
